FNFNUM,GENUS,SPECIES,TAXON
1721,Crateva,religiosa,Crateva religiosa
1722,Crateva,tapia,Crateva tapia
318,Crocus,sativus,Crocus sativus
319,Crotalaria,juncea,Crotalaria juncea
320,Crotalaria,retusa,Crotalaria retusa
1723,Crotalaria,semperflorens,Crotalaria semperflorens
321,Croton,eluteria,Croton eluteria
1305,Croton,linearis,Croton linearis
1497,Croton,megalocarpus,Croton megalocarpus
322,Croton,tiglium,Croton tiglium
323,Cryptostegia,grandifolia,Cryptostegia grandifolia
324,Cucumis,melo,Cucumis melo subsp. ssp melo var.cantalupensis
325,Cucumis,sativus,Cucumis sativus
1208,Cucurbita,foetidissima,Cucurbita foetidissima
326,Cucurbita,maxima,Cucurbita maxima
327,Cucurbita,pepo,Cucurbita pepo
328,Cucurbita,spp,Cucurbita spp
329,Cuminum,cyminum,Cuminum cyminum
330,Cunila,origanoides,Cunila origanoides
1724,Cuphea,carthagenensis,Cuphea carthagenensis
1725,Cuphea,epilobifolia,Cuphea epilobifolia
1726,Cuphea,infundibulum,Cuphea infundibulum
1727,Curatella,americana,Curatella americana
331,Curcuma,longa,Curcuma longa
332,Curcuma,xanthorrhiza,Curcuma xanthorrhiza
333,Curcuma,zedoaria,Curcuma zedoaria
1306,Cuscuta,europaea,Cuscuta europaea
1307,Cuscuta,reflexa,Cuscuta reflexa
334,Cycas,revoluta,Cycas revoluta
335,Cyclanthera,pedata,Cyclanthera pedata
336,Cydonia,oblonga,Cydonia oblonga
337,Cymbopogon,citratus,Cymbopogon citratus
338,Cymbopogon,flexuosus,Cymbopogon flexuosus
339,Cymbopogon,martinii,Cymbopogon martinii
340,Cymbopogon,nardus,Cymbopogon nardus
341,Cymbopogon,parkeri,Cymbopogon parkeri
342,Cymbopogon,winterianus,Cymbopogon winterianus
343,Cynanchum,atratum,Cynanchum atratum
344,Cynara,cardunculus,Cynara cardunculus subsp. cardunculus
1357,Cyperus,articulatus,Cyperus articulatus
345,Cyperus,rotundus,Cyperus rotundus
346,Cyphomandra,betacea,Cyphomandra betacea
347,Cypripedium,pubescens,Cypripedium pubescens
